CustomerID,Name,Birthyear,Education,Marital_Status,Income,Kid_Younger6,Children_6to18,Recency,Time_Adherence,MntMeat&Fish,MntEntries,MntVegan&Vegetarian,MntDrinks,MntDesserts,MntAdditionalRequests,NumOfferPurchases,NumAppPurchases,NumTakeAwayPurchases,NumStorePurchases,NumAppVisitsMonth,Complain,Response_Cmp1,Response_Cmp2,Response_Cmp3,Response_Cmp4,Response_Cmp5
11054,Mr. Leonard Parr,1963,Graduation,Single,107153.0,0,1,85.0,22,7230.0,1820,3435.0,1600.0,440.0,57.0,1,13,4,13,6,0,0,0,0,0,0
17117,Mr. Peter Duncan,1980,Master,Married,96725.0,0,1,96.0,23,5850.0,320,2745.0,500.0,320.0,8.0,3,9,7,9,6,0,0,0,0,0,0
31751,Mr. Cameron MacDonald,1962,Graduation,Widow,84836.0,0,1,7.0,15,8380.0,0,1560.0,0.0,0.0,28.0,3,9,5,3,9,0,1,0,1,0,0
12947,Mr. Tim Rampling,1971,Graduation,Married,100682.0,0,1,54.0,8,5090.0,280,2355.0,140.0,560.0,78.0,3,7,5,11,3,0,0,0,0,0,0
11402,Miss Jan Brown,1964,Graduation,Married,65350.0,1,1,64.0,25,330.0,0,240.0,0.0,0.0,7.0,2,4,1,3,8,0,1,0,0,0,0
34958,Mr. Gordon Berry,1996,Graduation,Married,61429.0,1,0,13.0,22,320.0,680,615.0,1120.0,320.0,116.0,3,6,3,3,7,0,0,0,0,0,0
16862,Mr. Charles Jackson,1950,PhD,Widow,122768.0,0,0,4.0,23,7870.0,1120,7170.0,1120.0,280.0,33.0,1,7,9,8,2,0,0,0,0,0,0
32981,Mr. Adam McDonald,1969,Graduation,Married,90432.0,0,1,67.0,11,2160.0,180,900.0,180.0,120.0,144.0,1,7,4,4,4,0,0,0,0,0,0
22769,Mr. Steven Payne,1983,Master,Married,93052.0,1,1,65.0,9,220.0,20,180.0,0.0,0.0,0.0,1,3,1,3,4,0,0,0,0,0,0
20714,Mr. Austin Dyer,1970,PhD,Widow,68791.0,0,1,77.0,17,6170.0,0,480.0,0.0,0.0,6.0,6,12,2,8,8,0,0,1,0,1,1
25850,Mr. Alexander Stewart,1990,PhD,Single,93677.0,0,0,32.0,25,8390.0,480,4740.0,0.0,720.0,85.0,2,5,8,8,2,0,0,0,0,0,0
29627,Mr. Brian Ball,1974,Graduation,Single,97451.0,0,0,94.0,30,1790.0,608,12615.0,2860.0,680.0,35.0,5,7,6,7,4,0,0,0,0,0,0
6575,Mrs. Olivia Sutherland,1985,Master,Married,84928.0,1,1,3.0,23,2980.0,240,1425.0,160.0,340.0,17.0,6,8,2,8,7,0,0,0,0,0,0
